
[2023-02-14T19:54:30.688] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:54:59.455] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:55:03.394] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:55:42.915] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:55:48.216] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:59:23.797] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:59:25.814] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:59:32.392] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T19:59:36.484] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:05:58.484] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/img/lapiz.png, Metodo GET
[2023-02-14T20:05:58.624] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:06:53.354] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:07:26.089] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:07:39.587] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:07:59.040] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:11:16.606] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:11:18.521] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:11:25.882] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:11:30.711] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:11:53.355] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:12:19.257] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:13:40.763] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:14:03.680] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:14:24.907] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:14:33.370] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:15:04.488] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:15:49.680] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:15:59.804] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:16:11.999] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:07.035] [WARN] warnArchive - Estado: 404, Ruta consultada: /template1.css, Metodo GET
[2023-02-14T20:17:07.277] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:18.702] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:23.255] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:26.718] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:29.899] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:35.457] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:37.490] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:39.561] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:17:49.022] [WARN] warnArchive - Estado: 404, Ruta consultada: /template1.css, Metodo GET
[2023-02-14T20:17:49.279] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:13.198] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:20.271] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:24.393] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:28.143] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:29.998] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:38.848] [WARN] warnArchive - Estado: 404, Ruta consultada: /template1.css, Metodo GET
[2023-02-14T20:18:40.052] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:18:42.522] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:19:19.162] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo DELETE
[2023-02-14T20:19:19.556] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:19:23.161] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:19:26.042] [WARN] warnArchive - Estado: 404, Ruta consultada: /template1.css, Metodo GET
[2023-02-14T20:19:26.256] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:19:41.459] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:19:46.657] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-14T20:19:50.797] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
